,Count_S,Count_E,Count_I,Count_R,Infections_Home,Infections_GQ,Infections_Work,Infections_School,Infections_Community
135,940,6,137,0,0,0,0,2,0
136,940,6,137,0,0,0,0,0,0
137,940,6,137,0,0,0,0,0,0
138,940,6,137,0,0,0,0,0,0
139,940,6,137,0,0,0,0,0,0
140,940,6,137,0,0,0,0,0,0
141,940,6,137,0,0,0,0,0,0
142,940,6,137,0,0,0,0,0,0
143,940,6,137,0,0,0,0,0,0
144,940,6,137,0,0,0,0,0,0
145,940,6,137,0,0,0,0,0,0
146,940,6,137,0,0,0,0,0,0
147,940,6,137,0,0,0,0,0,0
148,940,6,137,0,0,0,0,0,0
149,940,6,137,0,0,0,0,0,0
150,940,6,137,0,0,0,0,0,0
151,940,6,137,0,0,0,0,0,0
152,940,6,137,0,0,0,0,0,0
153,940,6,137,0,0,0,0,0,0
154,940,6,137,0,0,0,0,0,0
155,940,5,138,0,0,0,0,0,0
156,940,5,138,0,0,0,0,0,0
157,939,6,138,0,1,0,0,0,0
158,939,6,138,0,0,0,0,0,0
159,938,7,138,0,0,0,0,1,0
160,938,7,138,0,0,0,0,0,0
161,938,7,138,0,0,0,0,0,0
162,937,8,138,0,0,0,0,0,1
163,937,7,139,0,0,0,0,0,0
164,935,9,139,0,2,0,0,0,0
165,934,10,139,0,0,0,0,0,1
166,930,14,139,0,1,0,0,0,3
167,929,13,141,0,0,0,0,0,1
168,929,13,141,0,0,0,0,0,0
169,928,14,141,0,1,0,0,0,0
170,927,14,142,0,1,0,0,0,0
171,927,14,142,0,0,0,0,0,0
172,927,14,142,0,0,0,0,0,0
173,927,14,142,0,0,0,0,0,0
174,927,14,142,0,0,0,0,0,0
175,927,14,142,0,0,0,0,0,0
176,927,14,142,0,0,0,0,0,0
177,926,15,142,0,1,0,0,0,0
178,926,15,142,0,0,0,0,0,0
179,926,15,142,0,0,0,0,0,0
180,926,15,142,0,0,0,0,0,0
181,926,15,142,0,0,0,0,0,0
182,926,15,142,0,0,0,0,0,0
183,926,15,142,0,0,0,0,0,0
184,926,15,142,0,0,0,0,0,0
185,926,15,142,0,0,0,0,0,0
186,926,15,142,0,0,0,0,0,0
187,926,15,142,0,0,0,0,0,0
188,925,15,143,0,1,0,0,0,0
189,925,15,143,0,0,0,0,0,0
190,923,17,143,0,2,0,0,0,0
191,923,17,142,1,0,0,0,0,0
192,923,17,142,1,0,0,0,0,0
193,922,18,141,2,1,0,0,0,0
194,922,18,141,2,0,0,0,0,0
195,922,17,142,2,0,0,0,0,0
196,922,17,141,3,0,0,0,0,0
197,922,17,140,4,0,0,0,0,0
198,921,18,139,5,1,0,0,0,0
199,921,18,139,5,0,0,0,0,0
200,921,18,139,5,0,0,0,0,0
201,921,18,139,5,0,0,0,0,0
202,921,18,138,6,0,0,0,0,0
203,921,18,137,7,0,0,0,0,0
204,921,18,137,7,0,0,0,0,0
205,921,16,138,8,0,0,0,0,0
206,921,14,139,9,0,0,0,0,0
207,921,13,140,9,0,0,0,0,0
208,919,15,140,9,1,0,0,1,0
209,916,18,139,10,1,0,0,0,2
210,912,22,137,12,1,0,0,0,3
211,905,27,139,12,2,0,0,0,5
212,901,31,137,14,1,0,0,0,3
213,900,32,137,14,0,0,0,0,1
214,897,34,138,14,1,0,0,0,2
215,896,35,137,15,0,0,0,0,1
