,Count_S,Count_E,Count_I,Count_R,Infections_Home,Infections_GQ,Infections_Work,Infections_School,Infections_Community
135,396,430,257,0,0,1,1,0,0
136,395,420,268,0,0,0,0,1,0
137,378,433,272,0,10,1,0,0,6
138,365,432,286,0,4,1,0,0,8
139,358,426,299,0,0,1,0,0,6
140,350,421,312,0,0,1,0,0,7
141,335,426,322,0,6,0,0,0,9
142,327,424,332,0,2,1,0,0,5
143,325,415,343,0,1,0,0,0,1
144,320,405,358,0,3,0,0,0,2
145,319,399,365,0,1,0,0,0,0
146,318,384,381,0,1,0,0,0,0
147,316,367,400,0,2,0,0,0,0
148,312,358,413,0,2,2,0,0,0
149,310,346,426,1,1,1,0,0,0
150,309,331,442,1,0,1,0,0,0
151,304,323,455,1,2,3,0,0,0
152,300,313,469,1,3,1,0,0,0
153,298,307,477,1,1,1,0,0,0
154,298,292,492,1,0,0,0,0,0
155,296,287,499,1,1,0,1,0,0
156,293,276,513,1,0,2,1,0,0
157,291,267,524,1,0,0,0,2,0
158,290,256,536,1,0,0,0,1,0
159,290,245,547,1,0,0,0,0,0
160,289,239,554,1,1,0,0,0,0
161,269,254,559,1,5,0,0,0,15
162,258,259,565,1,2,1,0,0,8
163,254,256,572,1,2,0,0,0,2
164,246,248,588,1,5,0,0,0,3
165,244,243,595,1,1,0,0,0,1
166,241,237,604,1,1,0,0,0,2
167,241,228,613,1,0,0,0,0,0
168,239,224,619,1,2,0,0,0,0
169,238,216,628,1,1,0,0,0,0
170,236,214,632,1,2,0,0,0,0
171,236,207,639,1,0,0,0,0,0
172,234,204,644,1,2,0,0,0,0
173,234,194,654,1,0,0,0,0,0
174,232,188,662,1,2,0,0,0,0
175,231,184,667,1,1,0,0,0,0
176,230,178,674,1,1,0,0,0,0
177,230,170,681,2,0,0,0,0,0
178,229,167,685,2,1,0,0,0,0
179,226,167,688,2,2,0,1,0,0
180,225,164,692,2,1,0,0,0,0
181,225,158,698,2,0,0,0,0,0
182,224,155,702,2,0,0,0,1,0
183,224,148,709,2,0,0,0,0,0
184,224,141,716,2,0,0,0,0,0
185,216,144,721,2,1,0,0,0,7
186,202,152,726,3,8,0,0,0,6
187,198,154,728,3,1,0,0,0,3
188,195,153,732,3,1,0,0,0,2
189,192,153,735,3,3,0,0,0,0
190,190,148,742,3,2,0,0,0,0
191,186,148,746,3,4,0,0,0,0
192,183,147,750,3,3,0,0,0,0
193,181,145,754,3,2,0,0,0,0
194,180,141,759,3,1,0,0,0,0
195,179,138,763,3,1,0,0,0,0
196,176,137,767,3,3,0,0,0,0
197,174,137,768,4,2,0,0,0,0
198,174,136,768,5,0,0,0,0,0
199,174,131,773,5,0,0,0,0,0
200,173,128,777,5,1,0,0,0,0
201,172,123,783,5,1,0,0,0,0
202,169,122,786,6,3,0,0,0,0
203,169,118,790,6,0,0,0,0,0
204,169,115,791,8,0,0,0,0,0
205,169,110,795,9,0,0,0,0,0
206,167,109,798,9,2,0,0,0,0
207,167,106,801,9,0,0,0,0,0
208,167,104,802,10,0,0,0,0,0
209,156,113,804,10,1,0,0,0,10
210,152,115,806,10,0,0,0,0,4
211,151,114,807,11,0,0,0,0,1
212,150,108,814,11,0,0,0,0,1
213,148,108,815,12,0,0,0,0,2
214,143,112,815,13,3,0,0,0,2
215,141,110,817,15,2,0,0,0,0
216,140,107,820,16,1,0,0,0,0
217,137,107,821,18,3,0,0,0,0
218,136,106,822,19,1,0,0,0,0
219,135,103,826,19,1,0,0,0,0
220,134,102,828,19,1,0,0,0,0
221,132,100,832,19,2,0,0,0,0
222,130,100,832,21,2,0,0,0,0
223,129,98,835,21,1,0,0,0,0
224,127,98,836,22,2,0,0,0,0
225,126,98,837,22,0,0,0,1,0
226,125,94,842,22,0,0,0,1,0
227,125,93,843,22,0,0,0,0,0
228,124,91,841,27,1,0,0,0,0
229,124,88,842,29,0,0,0,0,0
230,124,87,842,30,0,0,0,0,0
231,124,86,841,32,0,0,0,0,0
232,124,86,840,33,0,0,0,0,0
233,117,91,841,34,1,0,0,0,6
234,110,92,845,36,2,0,0,0,5
235,107,90,849,37,1,0,0,0,2
236,103,92,850,38,3,0,0,0,1
237,102,93,850,38,0,0,0,0,1
238,101,89,854,39,0,0,0,0,1
239,100,88,852,43,0,0,0,0,1
240,98,88,852,45,2,0,0,0,0
241,98,84,855,46,0,0,0,0,0
242,98,81,858,46,0,0,0,0,0
243,98,81,858,46,0,0,0,0,0
244,98,80,859,46,0,0,0,0,0
245,95,80,861,47,3,0,0,0,0
246,94,76,863,50,1,0,0,0,0
247,93,76,861,53,1,0,0,0,0
248,92,75,861,55,1,0,0,0,0
249,92,72,864,55,0,0,0,0,0
250,92,68,865,58,0,0,0,0,0
251,92,66,865,60,0,0,0,0,0
252,92,65,863,63,0,0,0,0,0
253,91,63,863,66,1,0,0,0,0
254,91,61,863,68,0,0,0,0,0
255,91,57,863,72,0,0,0,0,0
256,91,56,862,74,0,0,0,0,0
257,87,60,859,77,0,0,0,0,4
258,85,61,859,78,1,0,0,0,1
259,83,62,858,80,1,0,0,0,1
260,83,57,859,84,0,0,0,0,0
261,81,58,857,87,1,0,0,0,1
262,81,57,856,89,0,0,0,0,0
263,79,57,858,89,2,0,0,0,0
264,78,56,856,93,0,0,0,0,1
265,78,55,855,95,0,0,0,0,0
266,78,55,855,95,0,0,0,0,0
267,77,55,854,97,1,0,0,0,0
268,77,55,852,99,0,0,0,0,0
269,76,55,849,103,1,0,0,0,0
270,76,53,849,105,0,0,0,0,0
271,76,52,846,109,0,0,0,0,0
272,74,49,848,112,2,0,0,0,0
273,74,49,843,117,0,0,0,0,0
274,74,48,843,118,0,0,0,0,0
275,73,49,840,121,1,0,0,0,0
276,72,46,840,125,0,0,0,1,0
277,72,44,841,126,0,0,0,0,0
278,71,45,839,128,1,0,0,0,0
279,71,43,840,129,0,0,0,0,0
280,71,42,839,131,0,0,0,0,0
281,68,45,834,136,0,0,0,0,3
282,63,47,831,142,1,0,0,0,4
283,60,50,828,145,1,0,0,0,2
284,59,51,827,146,0,0,0,0,1
285,59,50,822,152,0,0,0,0,0
286,58,49,822,154,1,0,0,0,0
287,58,46,824,155,0,0,0,0,0
288,58,46,821,158,0,0,0,0,0
289,56,45,821,161,2,0,0,0,0
290,56,45,819,163,0,0,0,0,0
291,56,43,814,170,0,0,0,0,0
292,56,42,813,172,0,0,0,0,0
293,56,40,810,177,0,0,0,0,0
294,56,40,809,178,0,0,0,0,0
295,56,40,805,182,0,0,0,0,0
296,56,40,802,185,0,0,0,0,0
297,56,38,798,191,0,0,0,0,0
298,56,36,795,196,0,0,0,0,0
299,56,36,791,200,0,0,0,0,0
300,55,36,786,206,1,0,0,0,0
301,55,34,784,210,0,0,0,0,0
302,55,32,782,214,0,0,0,0,0
303,55,32,777,219,0,0,0,0,0
304,55,32,774,222,0,0,0,0,0
305,52,35,772,224,1,0,0,0,2
306,51,36,766,230,0,0,0,0,1
307,50,37,761,235,1,0,0,0,0
308,47,40,759,237,1,0,0,0,2
309,46,41,756,240,1,0,0,0,0
310,45,40,754,244,1,0,0,0,0
311,44,41,749,249,1,0,0,0,0
312,44,40,742,257,0,0,0,0,0
313,44,40,736,263,0,0,0,0,0
314,44,38,730,271,0,0,0,0,0
315,44,37,725,277,0,0,0,0,0
316,43,38,723,279,1,0,0,0,0
317,43,37,720,283,0,0,0,0,0
318,43,37,715,288,0,0,0,0,0
319,43,36,708,296,0,0,0,0,0
320,42,35,702,304,1,0,0,0,0
321,42,35,696,310,0,0,0,0,0
322,42,35,687,319,0,0,0,0,0
323,42,33,676,332,0,0,0,0,0
324,42,33,666,342,0,0,0,0,0
325,42,32,664,345,0,0,0,0,0
326,41,32,654,356,1,0,0,0,0
327,41,28,651,363,0,0,0,0,0
328,41,26,646,370,0,0,0,0,0
329,40,25,640,378,0,0,0,0,1
330,39,25,631,388,0,0,0,0,1
331,37,27,626,393,0,0,0,0,2
332,37,25,627,394,0,0,0,0,0
333,37,23,619,404,0,0,0,0,0
334,36,23,614,410,1,0,0,0,0
335,36,23,602,422,0,0,0,0,0
336,36,23,598,426,0,0,0,0,0
337,36,22,587,438,0,0,0,0,0
338,36,21,584,442,0,0,0,0,0
339,36,21,576,450,0,0,0,0,0
340,36,21,565,461,0,0,0,0,0
341,36,20,558,469,0,0,0,0,0
342,36,19,551,477,0,0,0,0,0
343,36,19,544,484,0,0,0,0,0
344,36,17,539,491,0,0,0,0,0
345,36,17,530,500,0,0,0,0,0
346,36,16,516,515,0,0,0,0,0
347,36,15,507,525,0,0,0,0,0
348,36,15,501,531,0,0,0,0,0
349,36,13,497,537,0,0,0,0,0
350,36,13,491,543,0,0,0,0,0
351,36,13,488,546,0,0,0,0,0
352,36,12,482,553,0,0,0,0,0
353,35,12,477,559,0,0,0,0,1
354,35,12,472,564,0,0,0,0,0
355,35,10,464,574,0,0,0,0,0
356,35,10,456,582,0,0,0,0,0
357,35,10,447,591,0,0,0,0,0
358,34,11,439,599,1,0,0,0,0
359,34,11,427,611,0,0,0,0,0
360,34,11,421,617,0,0,0,0,0
361,34,11,413,625,0,0,0,0,0
362,34,11,406,632,0,0,0,0,0
363,33,12,395,643,1,0,0,0,0
364,33,12,392,646,0,0,0,0,0
365,33,12,384,654,0,0,0,0,0
366,33,11,380,659,0,0,0,0,0
367,33,11,376,663,0,0,0,0,0
368,33,11,367,672,0,0,0,0,0
